datetime,open,high,low,close,volume
2024-02-09,188.23,189.99,188.0,188.62,37372271.0
2024-02-10,188.62,188.6299,188.52,188.53,24835.0
2024-02-11,,,,,0.0
2024-02-12,188.8,189.9,186.58,186.92,33710251.0
2024-02-13,186.92,187.03,183.5128,185.15,48069212.0
2024-02-14,185.17,185.94,181.88,183.12,46399750.0
2024-02-15,183.14,185.94,181.35,184.58,57603911.0
2024-02-16,184.62,185.4,181.665,182.05,42186603.0
2024-02-17,182.06,182.1,181.91,181.95,29188.0
2024-02-18,,,,,0.0
2024-02-19,,,,,0.0
2024-02-20,181.7,182.57,180.0,181.7,42704213.0
2024-02-21,181.66,182.8888,180.66,182.47,34221856.0
2024-02-22,182.47,184.955,182.42,184.24,44428864.0
2024-02-23,184.15,185.35,182.23,182.33,38602942.0
2024-02-24,182.31,182.35,182.23,182.28,21030.0
2024-02-25,,,,,0.0
2024-02-26,182.27,182.76,180.65,181.04,33792391.0
2024-02-27,181.13,183.9225,179.56,182.88,48714788.0
2024-02-28,182.86,183.47,180.13,181.12,43785053.0
2024-02-29,181.11,182.57,179.53,180.3059,74347300.0
2024-03-01,180.3,181.3,177.38,179.0307,67269041.0
2024-03-02,179.02,179.12,178.95,179.0,39337.0
2024-03-03,,,,,0.0
2024-03-04,179.93,179.93,173.79,174.61,74266495.0
2024-03-05,174.67,174.67,169.62,169.92,82993189.0
2024-03-06,169.9,172.0,168.68,168.82,60723467.0
2024-03-07,168.85,170.73,167.35,168.7,62786305.0
2024-03-08,168.73,173.7,168.67,170.6481,68996470.0
2024-03-09,170.69,170.71,170.0,170.48,105748.0
2024-03-10,,,,,0.0
2024-03-11,171.0,174.38,170.76,173.29,52577112.0
2024-03-12,173.5,174.32,171.01,173.0,51507262.0
2024-03-13,173.31,173.5,170.76,171.5,43563267.0
2024-03-14,171.6,174.3078,171.51,173.25,63332738.0
2024-03-15,173.41,174.25,170.05,172.63,81681739.0
2024-03-16,,,,,0.0
2024-03-17,,,,,0.0
2024-03-18,173.4,177.71,172.41,173.59,62927076.0
2024-03-19,173.9,176.605,173.03,175.65,45197577.0
2024-03-20,175.9,178.68,175.09,176.4,45850280.0
2024-03-21,177.03,177.66,170.84,171.6999,96750248.0
2024-03-22,171.68,173.05,170.06,172.29,60774375.0
2024-03-23,,,,,0.0
2024-03-24,,,,,0.0
2024-03-25,172.2,172.27,169.45,170.92,45779059.0
2024-03-26,171.05,171.75,169.11,169.98,47403872.0
2024-03-27,170.0,173.69,169.7,172.9,50451390.0
2024-03-28,173.17,173.38,170.51,171.18,52891036.0
2024-03-29,,,,,0.0
2024-03-30,,,,,0.0
2024-03-31,,,,,0.0
2024-04-01,172.02,172.02,169.475,169.5,39270978.0
2024-04-02,169.71,170.08,168.2302,169.4,39614453.0
2024-04-03,169.3,170.68,168.42,170.14,39343532.0
2024-04-04,169.99,171.92,168.77,169.22,45530975.0
2024-04-05,169.2,170.39,168.81,169.47,35839030.0
2024-04-06,,,,,0.0
2024-04-07,,,,,0.0
2024-04-08,169.6,169.61,168.24,168.27,31411114.0
2024-04-09,168.51,170.08,167.8,169.76,38130797.0
2024-04-10,169.86,170.91,167.11,167.85,43378983.0
2024-04-11,167.96,175.6,167.7,175.5999,80082636.0
2024-04-12,174.96,178.36,173.49,176.21,91025285.0
2024-04-13,,,,,0.0
2024-04-14,,,,,0.0
2024-04-15,175.36,176.63,172.43,172.65,61869895.0
2024-04-16,172.4,173.76,168.27,169.8,65654564.0
2024-04-17,169.68,170.65,168.0,168.35,43988221.0
2024-04-18,168.8,169.0,166.55,166.8,36896745.0
2024-04-19,165.18,167.88,164.075,164.4,56572916.0
2024-04-20,,,,,0.0
2024-04-21,,,,,0.0
2024-04-22,165.5,167.26,164.588,165.77,39445771.0
2024-04-23,165.8,167.26,164.81,166.94,40798176.0
2024-04-24,167.19,169.5,166.13,169.1,40358369.0
2024-04-25,168.83,170.84,167.89,169.74,42713499.0
2024-04-26,169.99,171.34,169.14,169.6,38636754.0
2024-04-27,,,,,0.0
2024-04-28,,,,,0.0
2024-04-29,170.49,176.03,170.25,173.52,60661901.0
2024-04-30,173.22,174.99,168.45,169.96,47188461.0
2024-05-01,170.5,172.705,169.1,170.35,42237846.0
2024-05-02,170.5,186.6453,170.5,183.46,84427432.0
2024-05-03,183.1,187.04,181.71,183.78,151911655.0
2024-05-04,,,,,0.0
2024-05-05,,,,,0.0
2024-05-06,180.4,184.2,180.3,182.89,69511840.0
2024-05-07,183.02,184.9,181.32,182.23,68913066.0
2024-05-08,182.3,183.75,181.45,182.46,37991864.0
2024-05-09,182.75,185.0,182.11,184.79,41916331.0
2024-05-10,184.57,185.09,182.13,182.5,41243385.0
2024-05-11,,,,,0.0
2024-05-12,,,,,0.0
2024-05-13,184.3,187.1,183.7,186.14,63054842.0
2024-05-14,186.5,188.3,185.4,187.45,44528401.0
2024-05-15,187.43,190.65,187.0,189.96,58798064.0
2024-05-16,190.12,191.095,189.5,190.0,45259792.0
2024-05-17,189.78,190.81,189.18,189.92,34158322.0
2024-05-18,,,,,0.0
2024-05-19,,,,,0.0
2024-05-20,189.84,191.9199,188.27,191.19,38727140.0
